ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.0.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.0.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.0.0,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
8.0.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.0.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
8.0.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
8.0.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.0.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.0.0,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
8.0.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.0.0,true,cloud,cloud.account.id,keyword,extended,,666777888999,The cloud account or organization id.
8.0.0,true,cloud,cloud.account.name,keyword,extended,,elastic-dev,The cloud account name.
8.0.0,true,cloud,cloud.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located."
8.0.0,true,cloud,cloud.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.
8.0.0,true,cloud,cloud.instance.name,keyword,extended,,,Instance name of the host machine.
8.0.0,true,cloud,cloud.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.
8.0.0,true,cloud,cloud.origin.account.id,keyword,extended,,666777888999,The cloud account or organization id.
8.0.0,true,cloud,cloud.origin.account.name,keyword,extended,,elastic-dev,The cloud account name.
8.0.0,true,cloud,cloud.origin.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located."
8.0.0,true,cloud,cloud.origin.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.
8.0.0,true,cloud,cloud.origin.instance.name,keyword,extended,,,Instance name of the host machine.
8.0.0,true,cloud,cloud.origin.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.
8.0.0,true,cloud,cloud.origin.project.id,keyword,extended,,my-project,The cloud project id.
8.0.0,true,cloud,cloud.origin.project.name,keyword,extended,,my project,The cloud project name.
8.0.0,true,cloud,cloud.origin.provider,keyword,extended,,aws,Name of the cloud provider.
8.0.0,true,cloud,cloud.origin.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located."
8.0.0,true,cloud,cloud.origin.service.name,keyword,extended,,lambda,The cloud service name.
8.0.0,true,cloud,cloud.project.id,keyword,extended,,my-project,The cloud project id.
8.0.0,true,cloud,cloud.project.name,keyword,extended,,my project,The cloud project name.
8.0.0,true,cloud,cloud.provider,keyword,extended,,aws,Name of the cloud provider.
8.0.0,true,cloud,cloud.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located."
8.0.0,true,cloud,cloud.service.name,keyword,extended,,lambda,The cloud service name.
8.0.0,true,cloud,cloud.target.account.id,keyword,extended,,666777888999,The cloud account or organization id.
8.0.0,true,cloud,cloud.target.account.name,keyword,extended,,elastic-dev,The cloud account name.
8.0.0,true,cloud,cloud.target.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located."
8.0.0,true,cloud,cloud.target.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.
8.0.0,true,cloud,cloud.target.instance.name,keyword,extended,,,Instance name of the host machine.
8.0.0,true,cloud,cloud.target.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.
8.0.0,true,cloud,cloud.target.project.id,keyword,extended,,my-project,The cloud project id.
8.0.0,true,cloud,cloud.target.project.name,keyword,extended,,my project,The cloud project name.
8.0.0,true,cloud,cloud.target.provider,keyword,extended,,aws,Name of the cloud provider.
8.0.0,true,cloud,cloud.target.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located."
8.0.0,true,cloud,cloud.target.service.name,keyword,extended,,lambda,The cloud service name.
8.0.0,true,container,container.id,keyword,core,,,Unique container id.
8.0.0,true,container,container.image.name,keyword,extended,,,Name of the image the container was built on.
8.0.0,true,container,container.image.tag,keyword,extended,array,,Container image tags.
8.0.0,true,container,container.labels,object,extended,,,Image labels.
8.0.0,true,container,container.name,keyword,extended,,,Container name.
8.0.0,true,container,container.runtime,keyword,extended,,docker,Runtime managing this container.
8.0.0,true,data_stream,data_stream.dataset,constant_keyword,extended,,nginx.access,The field can contain anything that makes sense to signify the source of the data.
8.0.0,true,data_stream,data_stream.namespace,constant_keyword,extended,,production,A user defined namespace. Namespaces are useful to allow grouping of data.
8.0.0,true,data_stream,data_stream.type,constant_keyword,extended,,logs,An overarching type for the data stream.
8.0.0,true,host,host.architecture,keyword,core,,x86_64,Operating system architecture.
8.0.0,true,host,host.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
